temperature,soc,voltage,speed,soh
32.49080237694725,49.89126547733588,392.99983109899705,76.57734820466086,85.33710973156583
44.01428612819832,46.63296769851226,338.45119955987116,55.11509442410318,78.24646396808782
39.6398788362281,34.092313000228806,354.6639694369886,115.7398229836729,78.1066374764921
36.97316968394073,68.58133360811904,386.32806368578184,26.27741411810858,86.9425130912322
28.12037280884873,58.12993284069031,368.208934452448,70.54276991987288,88.95112826145692
28.119890406724053,89.25607938592029,393.8571038634894,84.02520179882671,93.4622630769569
26.161672243363988,22.56876643856466,416.120790122286,99.06773872144579,85.2211967463722
42.32352291549871,71.50943420441011,331.65466877151977,48.83652365136085,81.0039034654964
37.022300234864176,81.0359102809249,390.9567716398061,82.43062891889778,85.06656709852452
39.16145155592091,80.75892553506456,343.03441556321144,36.384176566113936,87.26671175589642
25.411689885916047,90.88591736764201,361.4476727407569,52.257131083418436,96.92731009073336
44.39819704323989,78.32269942635952,323.286272579514,107.4752557444079,83.31194516899798
41.648852816008436,94.2248049318157,333.5907382292699,113.98891311971451,85.61719020450955
29.246782213565524,46.61252798567132,351.97772890488994,86.25808163127176,85.24798470647355
28.636499344142013,60.256753340123446,354.1985805287985,44.9222268931422,87.3906844391615
28.668090197068675,21.126373062631252,409.9585216462096,98.40693479695969,82.56425424774108
31.084844859190753,20.556606984263297,394.1812909266515,3.104049807050422,84.74609566133682
35.49512863264476,39.21012963612159,417.2182968187041,12.329509264730527,86.4722084038372
33.638900372842315,28.06457577112682,379.90715103352403,79.36484836504333,82.11924880415528
30.824582803960837,40.81690943486029,344.1713732091318,34.94982903240689,84.35011904879154
37.23705789444759,34.163463562271794,352.7655029921643,114.16634620805733,78.50673199967511
27.789877213040835,22.28160198709186,351.9835923291967,52.327273451076564,83.66854553841323
30.842892970704362,92.74433171248396,352.64943276632516,51.52377844670124,93.09294983083198
32.327236865873836,20.65785051111132,387.2964173111816,81.36954122291175,83.42925194328829
34.121399684340716,78.88657154696683,373.0807928090416,92.10822747674275,90.84715347523134
40.70351922786027,32.171830953561326,358.5424178086644,57.06704857501638,78.38936247074201
28.993475643167194,92.978369759968,334.9089768728717,25.680108205406896,95.46076284788586
35.28468876827223,91.42367516719086,322.2139162942146,92.79703712707459,88.51259959520574
36.84829137724085,72.31209170954058,341.88346775876926,38.44215298483531,84.62296788144701
25.929008254399953,73.7787319840484,330.74714039686813,21.013292315262913,96.87911793282484
